//Isaac Lorenzo Rodriguez Pacheco
//ICOM 4215
// 3 Port Register File
// March 14, 2023

clock      enable      select_decoder       data_writer         RA             PA         RB            PB         RD           PD 
0          1             xxxxx                      x          xxxxx           x         xxxxx            x      xxxxx            x
0          1             xxxxx                     20          xxxxx           x         xxxxx            x      xxxxx            x
1          1             00000                     20          xxxxx           x         xxxxx            x      xxxxx            x
1          1             00000                     20          00000           x         xxxxx            x      xxxxx            x     
0          1             00000                     20          00000           x         11111            x      xxxxx            x
0          1             00000                     20          00000           x         11111            x      11110            x     
1          1             00000                     20          00000          20         11111            x      11110            x
0          1             00000                     20          00000          20         11111            x      11110            x
0          1             00001                     21          00001           x         00000           20      11111            x
1          1             00001                     21          00001          21         00000           20      11111            x
0          1             00001                     21          00001          21         00000           20      11111            x     
0          1             00010                     22          00010           x         00001           21      00000           20
1          1             00010                     22          00010          22         00001           21      00000           20
0          1             00010                     22          00010          22         00001           21      00000           20
0          1             00011                     23          00011           x         00010           22      00001           21
1          1             00011                     23          00011          23         00010           22      00001           21
0          1             00011                     23          00011          23         00010           22      00001           21
0          1             00100                     24          00100           x         00011           23      00010           22
1          1             00100                     24          00100          24         00011           23      00010           22
0          1             00100                     24          00100          24         00011           23      00010           22
0          1             00101                     25          00101           x         00100           24      00011           23     
1          1             00101                     25          00101          25         00100           24      00011           23
0          1             00101                     25          00101          25         00100           24      00011           23
0          1             00110                     26          00110           x         00101           25      00100           24     
1          1             00110                     26          00110          26         00101           25      00100           24
0          1             00110                     26          00110          26         00101           25      00100           24     
0          1             00111                     27          00111           x         00110           26      00101           25
1          1             00111                     27          00111          27         00110           26      00101           25     
0          1             00111                     27          00111          27         00110           26      00101           25     
0          1             01000                     28          01000           x         00111           27      00110           26
1          1             01000                     28          01000          28         00111           27      00110           26     
0          1             01000                     28          01000          28         00111           27      00110           26     
0          1             01001                     29          01001           x         01000           28      00111           27     
1          1             01001                     29          01001          29         01000           28      00111           27
0          1             01001                     29          01001          29         01000           28      00111           27     
0          1             01010                     30          01010           x         01001           29      01000           28
1          1             01010                     30          01010          30         01001           29      01000           28     
0          1             01010                     30          01010          30         01001           29      01000           28     
0          1             01011                     31          01011           x         01010           30      01001           29
1          1             01011                     31          01011          31         01010           30      01001           29     
0          1             01011                     31          01011          31         01010           30      01001           29     
0          1             01100                     32          01100           x         01011           31      01010           30
1          1             01100                     32          01100          32         01011           31      01010           30     
0          1             01100                     32          01100          32         01011           31      01010           30     
0          1             01101                     33          01101           x         01100           32      01011           31
1          1             01101                     33          01101          33         01100           32      01011           31     
0          1             01101                     33          01101          33         01100           32      01011           31     
0          1             01110                     34          01110           x         01101           33      01100           32
1          1             01110                     34          01110          34         01101           33      01100           32     
0          1             01110                     34          01110          34         01101           33      01100           32
0          1             01111                     35          01111           x         01110           34      01101           33     
1          1             01111                     35          01111          35         01110           34      01101           33
0          1             01111                     35          01111          35         01110           34      01101           33     
0          1             10000                     36          10000           x         01111           35      01110           34     
1          1             10000                     36          10000          36         01111           35      01110           34
0          1             10000                     36          10000          36         01111           35      01110           34     
0          1             10001                     37          10001           x         10000           36      01111           35     
1          1             10001                     37          10001          37         10000           36      01111           35
0          1             10001                     37          10001          37         10000           36      01111           35
0          1             10010                     38          10010           x         10001           37      10000           36     
1          1             10010                     38          10010          38         10001           37      10000           36
0          1             10010                     38          10010          38         10001           37      10000           36
